date,ward_code,ward_name,crime_type,severity,ipc_section
2020-01-06,A,Colaba/Fort,Cyber Fraud,Medium,IPC 320
2020-01-06,G/N,Dharavi,Theft,High,IPC 426
2020-01-06,H/E,Bandra East,Cyber Fraud,Medium,IPC 332
2020-01-06,G/N,Dharavi,Chain Snatching,Medium,IPC 398
2020-01-06,F/N,Matunga,Chain Snatching,High,IPC 367
2020-01-06,F/N,Matunga,Cyber Fraud,High,IPC 489
2020-01-06,M/E,Govandi,Extortion,High,IPC 380
2020-01-06,F/N,Matunga,Theft,Low,IPC 358
2020-01-06,G/N,Dharavi,Burglary,Medium,IPC 363
2020-01-06,M/E,Govandi,Assault,High,IPC 400
2020-01-06,R/C,Borivali,Burglary,High,IPC 430
2020-01-06,D,Malabar Hill,Chain Snatching,Low,IPC 350
2020-01-06,R/C,Borivali,Assault,Medium,IPC 333
2020-01-06,K/W,Andheri West,Theft,High,IPC 412
2020-01-06,A,Colaba/Fort,Cyber Fraud,Medium,IPC 352
2020-01-06,F/N,Matunga,Chain Snatching,High,IPC 489
2020-01-07,R/C,Borivali,Cyber Fraud,Medium,IPC 302
2020-01-07,M/E,Govandi,Chain Snatching,Medium,IPC 355
2020-01-07,D,Malabar Hill,Extortion,Low,IPC 478
2020-01-07,R/C,Borivali,Theft,Low,IPC 378
2020-01-07,L,Kurla,Chain Snatching,Medium,IPC 482
2020-01-07,N,Ghatkopar,Chain Snatching,Low,IPC 393
2020-01-07,N,Ghatkopar,Chain Snatching,Medium,IPC 303
2020-01-07,M/E,Govandi,Assault,Low,IPC 321
2020-01-07,D,Malabar Hill,Theft,High,IPC 412
2020-01-07,K/W,Andheri West,Cyber Fraud,Low,IPC 430
2020-01-07,N,Ghatkopar,Assault,Medium,IPC 300
2020-01-07,K/W,Andheri West,Cyber Fraud,High,IPC 480
2020-01-07,N,Ghatkopar,Burglary,Medium,IPC 380
2020-01-07,E,Byculla,Extortion,Medium,IPC 364
2020-01-07,L,Kurla,Chain Snatching,Low,IPC 383
2020-01-07,G/N,Dharavi,Cyber Fraud,Low,IPC 493
2020-01-07,N,Ghatkopar,Theft,Low,IPC 349
2020-01-07,A,Colaba/Fort,Theft,Medium,IPC 473
2020-01-08,G/N,Dharavi,Assault,Low,IPC 309
2020-01-08,A,Colaba/Fort,Cyber Fraud,Low,IPC 433
2020-01-08,E,Byculla,Cyber Fraud,Low,IPC 308
2020-01-08,E,Byculla,Cyber Fraud,High,IPC 379
2020-01-08,N,Ghatkopar,Chain Snatching,High,IPC 378
2020-01-08,E,Byculla,Chain Snatching,Medium,IPC 487
2020-01-08,L,Kurla,Burglary,Low,IPC 485
2020-01-08,A,Colaba/Fort,Theft,High,IPC 344
2020-01-08,R/C,Borivali,Extortion,Low,IPC 448
2020-01-08,E,Byculla,Extortion,Low,IPC 421
2020-01-08,D,Malabar Hill,Chain Snatching,Low,IPC 467
2020-01-08,K/W,Andheri West,Burglary,High,IPC 382
2020-01-08,G/N,Dharavi,Assault,High,IPC 380
2020-01-08,F/N,Matunga,Extortion,High,IPC 351
2020-01-08,K/W,Andheri West,Theft,Medium,IPC 472
2020-01-08,F/N,Matunga,Assault,High,IPC 479
2020-01-09,M/E,Govandi,Cyber Fraud,Medium,IPC 423
2020-01-09,K/W,Andheri West,Assault,Medium,IPC 376
2020-01-09,F/N,Matunga,Cyber Fraud,High,IPC 432
2020-01-09,N,Ghatkopar,Cyber Fraud,Low,IPC 492
2020-01-09,M/E,Govandi,Assault,Medium,IPC 394
2020-01-09,R/C,Borivali,Burglary,High,IPC 353
2020-01-09,F/N,Matunga,Burglary,Low,IPC 354
2020-01-09,A,Colaba/Fort,Assault,High,IPC 455
2020-01-09,D,Malabar Hill,Burglary,High,IPC 433
2020-01-09,R/C,Borivali,Extortion,High,IPC 465
2020-01-09,E,Byculla,Chain Snatching,Medium,IPC 313
2020-01-10,H/E,Bandra East,Cyber Fraud,High,IPC 494
2020-01-10,N,Ghatkopar,Extortion,Low,IPC 343
2020-01-10,F/N,Matunga,Assault,Low,IPC 493
2020-01-10,F/N,Matunga,Extortion,High,IPC 362
2020-01-10,D,Malabar Hill,Assault,High,IPC 438
2020-01-10,H/E,Bandra East,Theft,Medium,IPC 353
2020-01-10,K/W,Andheri West,Theft,High,IPC 342
2020-01-10,N,Ghatkopar,Burglary,High,IPC 452
2020-01-10,H/E,Bandra East,Extortion,High,IPC 318
2020-01-10,F/N,Matunga,Cyber Fraud,Medium,IPC 347
2020-01-10,H/E,Bandra East,Extortion,Low,IPC 498
2020-01-10,E,Byculla,Burglary,Medium,IPC 403
2020-01-10,M/E,Govandi,Extortion,High,IPC 309
2020-01-10,M/E,Govandi,Chain Snatching,Low,IPC 413
2020-01-10,G/N,Dharavi,Extortion,Medium,IPC 321
2020-01-10,K/W,Andheri West,Assault,Medium,IPC 365
2020-01-10,H/E,Bandra East,Theft,Medium,IPC 479
2020-01-10,R/C,Borivali,Theft,Medium,IPC 392
2020-01-10,R/C,Borivali,Assault,High,IPC 453
2020-01-10,L,Kurla,Chain Snatching,Medium,IPC 404
2020-01-11,E,Byculla,Chain Snatching,Medium,IPC 406
2020-01-11,D,Malabar Hill,Extortion,Medium,IPC 395
2020-01-11,F/N,Matunga,Burglary,Low,IPC 392
2020-01-11,R/C,Borivali,Chain Snatching,High,IPC 303
2020-01-11,A,Colaba/Fort,Cyber Fraud,Medium,IPC 484
2020-01-11,M/E,Govandi,Theft,Low,IPC 306
2020-01-11,F/N,Matunga,Theft,High,IPC 364
2020-01-11,N,Ghatkopar,Chain Snatching,Medium,IPC 445
2020-01-11,K/W,Andheri West,Theft,Low,IPC 355
2020-01-11,K/W,Andheri West,Assault,Medium,IPC 311
2020-01-11,D,Malabar Hill,Cyber Fraud,High,IPC 465
2020-01-11,K/W,Andheri West,Chain Snatching,Medium,IPC 306
2020-01-11,F/N,Matunga,Theft,High,IPC 480
2020-01-11,G/N,Dharavi,Assault,Medium,IPC 433
2020-01-11,D,Malabar Hill,Extortion,High,IPC 462
2020-01-11,F/N,Matunga,Assault,High,IPC 475
2020-01-11,H/E,Bandra East,Assault,Medium,IPC 433
2020-01-11,M/E,Govandi,Theft,Low,IPC 489
2020-01-11,H/E,Bandra East,Burglary,Low,IPC 363
2020-01-11,M/E,Govandi,Cyber Fraud,High,IPC 472
2020-01-12,H/E,Bandra East,Theft,Low,IPC 421
2020-01-12,F/N,Matunga,Theft,Low,IPC 376
2020-01-12,M/E,Govandi,Extortion,High,IPC 446
2020-01-12,A,Colaba/Fort,Theft,Low,IPC 459
2020-01-12,G/N,Dharavi,Extortion,Low,IPC 407
2020-01-12,F/N,Matunga,Burglary,High,IPC 305
2020-01-12,D,Malabar Hill,Burglary,High,IPC 439
2020-01-12,A,Colaba/Fort,Cyber Fraud,High,IPC 334
2020-01-12,H/E,Bandra East,Chain Snatching,High,IPC 355
2020-01-12,L,Kurla,Burglary,High,IPC 313
2020-01-12,G/N,Dharavi,Assault,Low,IPC 356
2020-01-12,D,Malabar Hill,Theft,Medium,IPC 462
2020-01-12,R/C,Borivali,Assault,Medium,IPC 313
2020-01-12,G/N,Dharavi,Assault,Medium,IPC 421
2020-01-12,F/N,Matunga,Chain Snatching,High,IPC 301
2020-01-12,F/N,Matunga,Extortion,High,IPC 452
2020-01-12,E,Byculla,Chain Snatching,High,IPC 448
2020-01-12,F/N,Matunga,Extortion,High,IPC 359
2020-01-12,G/N,Dharavi,Burglary,Medium,IPC 348
2020-01-12,M/E,Govandi,Burglary,Medium,IPC 456
2020-01-12,E,Byculla,Cyber Fraud,Low,IPC 473
2020-01-12,R/C,Borivali,Assault,High,IPC 306
2020-01-12,G/N,Dharavi,Assault,Low,IPC 447
2020-01-12,G/N,Dharavi,Burglary,High,IPC 304
2020-01-13,L,Kurla,Chain Snatching,Medium,IPC 349
2020-01-13,G/N,Dharavi,Assault,High,IPC 328
2020-01-13,D,Malabar Hill,Assault,High,IPC 316
2020-01-13,K/W,Andheri West,Cyber Fraud,Medium,IPC 436
2020-01-13,H/E,Bandra East,Extortion,Medium,IPC 344
2020-01-13,R/C,Borivali,Extortion,Medium,IPC 311
2020-01-13,H/E,Bandra East,Cyber Fraud,High,IPC 348
2020-01-13,A,Colaba/Fort,Assault,Low,IPC 448
2020-01-13,H/E,Bandra East,Extortion,Medium,IPC 460
2020-01-13,H/E,Bandra East,Chain Snatching,Medium,IPC 322
2020-01-13,G/N,Dharavi,Theft,Low,IPC 375
2020-01-13,R/C,Borivali,Extortion,Medium,IPC 426
2020-01-13,E,Byculla,Theft,Low,IPC 435
2020-01-13,R/C,Borivali,Cyber Fraud,Low,IPC 436
2020-01-13,F/N,Matunga,Assault,High,IPC 331
2020-01-13,L,Kurla,Cyber Fraud,High,IPC 329
2020-01-13,F/N,Matunga,Cyber Fraud,Medium,IPC 435
2020-01-13,R/C,Borivali,Burglary,Low,IPC 422
2020-01-13,N,Ghatkopar,Extortion,Medium,IPC 320
2020-01-14,G/N,Dharavi,Assault,High,IPC 303
2020-01-14,N,Ghatkopar,Assault,High,IPC 414
2020-01-14,H/E,Bandra East,Theft,Low,IPC 493
2020-01-14,H/E,Bandra East,Assault,Medium,IPC 345
2020-01-14,L,Kurla,Theft,High,IPC 414
2020-01-14,H/E,Bandra East,Theft,High,IPC 479
2020-01-15,M/E,Govandi,Chain Snatching,Low,IPC 476
2020-01-15,F/N,Matunga,Cyber Fraud,Medium,IPC 369
2020-01-15,K/W,Andheri West,Cyber Fraud,Medium,IPC 378
2020-01-15,N,Ghatkopar,Cyber Fraud,Low,IPC 324
2020-01-15,D,Malabar Hill,Burglary,Medium,IPC 376
2020-01-15,R/C,Borivali,Chain Snatching,Low,IPC 419
2020-01-15,A,Colaba/Fort,Extortion,Low,IPC 366
2020-01-16,F/N,Matunga,Chain Snatching,High,IPC 465
2020-01-16,N,Ghatkopar,Burglary,Medium,IPC 425
2020-01-16,F/N,Matunga,Burglary,Low,IPC 436
2020-01-16,N,Ghatkopar,Cyber Fraud,Medium,IPC 465
2020-01-16,D,Malabar Hill,Burglary,Medium,IPC 408
2020-01-17,F/N,Matunga,Assault,Low,IPC 439
2020-01-17,K/W,Andheri West,Cyber Fraud,Medium,IPC 445
2020-01-17,N,Ghatkopar,Assault,High,IPC 353
2020-01-17,N,Ghatkopar,Assault,High,IPC 361
2020-01-17,G/N,Dharavi,Theft,High,IPC 459
2020-01-17,M/E,Govandi,Burglary,Medium,IPC 458
2020-01-17,M/E,Govandi,Extortion,Low,IPC 380
2020-01-17,R/C,Borivali,Burglary,Medium,IPC 349
2020-01-17,M/E,Govandi,Theft,High,IPC 478
2020-01-17,F/N,Matunga,Assault,High,IPC 418
2020-01-17,H/E,Bandra East,Assault,High,IPC 428
2020-01-17,R/C,Borivali,Extortion,Medium,IPC 364
2020-01-17,H/E,Bandra East,Extortion,Medium,IPC 353
2020-01-17,E,Byculla,Chain Snatching,Low,IPC 444
2020-01-17,H/E,Bandra East,Burglary,High,IPC 407
2020-01-17,E,Byculla,Assault,Low,IPC 316
2020-01-17,L,Kurla,Cyber Fraud,Low,IPC 448
2020-01-17,M/E,Govandi,Burglary,Low,IPC 343
2020-01-18,D,Malabar Hill,Burglary,Medium,IPC 417
2020-01-18,R/C,Borivali,Theft,Low,IPC 381
2020-01-18,N,Ghatkopar,Theft,High,IPC 417
2020-01-18,L,Kurla,Extortion,Medium,IPC 444
2020-01-18,K/W,Andheri West,Extortion,High,IPC 425
2020-01-18,M/E,Govandi,Assault,Low,IPC 475
2020-01-18,F/N,Matunga,Burglary,Low,IPC 402
2020-01-18,F/N,Matunga,Burglary,Low,IPC 311
2020-01-18,R/C,Borivali,Burglary,High,IPC 333
2020-01-18,M/E,Govandi,Extortion,High,IPC 349
2020-01-18,M/E,Govandi,Cyber Fraud,High,IPC 300
2020-01-18,N,Ghatkopar,Cyber Fraud,High,IPC 347
2020-01-18,F/N,Matunga,Assault,High,IPC 448
2020-01-18,N,Ghatkopar,Theft,Medium,IPC 476
2020-01-18,E,Byculla,Extortion,High,IPC 428
2020-01-18,F/N,Matunga,Chain Snatching,High,IPC 462
2020-01-18,K/W,Andheri West,Extortion,Medium,IPC 369
2020-01-18,D,Malabar Hill,Assault,Medium,IPC 373
2020-01-18,H/E,Bandra East,Cyber Fraud,Low,IPC 396
2020-01-18,N,Ghatkopar,Chain Snatching,Medium,IPC 336
2020-01-18,D,Malabar Hill,Assault,Medium,IPC 472
2020-01-18,F/N,Matunga,Chain Snatching,High,IPC 375
2020-01-18,E,Byculla,Chain Snatching,Low,IPC 306
2020-01-19,D,Malabar Hill,Cyber Fraud,Low,IPC 403
2020-01-19,F/N,Matunga,Cyber Fraud,High,IPC 498
2020-01-19,F/N,Matunga,Assault,High,IPC 317
2020-01-19,F/N,Matunga,Cyber Fraud,High,IPC 343
2020-01-19,H/E,Bandra East,Extortion,Medium,IPC 464
2020-01-19,F/N,Matunga,Theft,Low,IPC 496
2020-01-19,E,Byculla,Chain Snatching,High,IPC 469
2020-01-19,D,Malabar Hill,Extortion,Low,IPC 342
2020-01-19,K/W,Andheri West,Theft,Low,IPC 383
2020-01-19,A,Colaba/Fort,Extortion,Medium,IPC 356
2020-01-19,G/N,Dharavi,Burglary,Low,IPC 444
2020-01-19,K/W,Andheri West,Cyber Fraud,Medium,IPC 414
2020-01-19,N,Ghatkopar,Chain Snatching,Low,IPC 426
2020-01-19,L,Kurla,Theft,Low,IPC 453
2020-01-19,H/E,Bandra East,Extortion,Medium,IPC 457
2020-01-19,D,Malabar Hill,Cyber Fraud,Low,IPC 307
2020-01-19,E,Byculla,Chain Snatching,Low,IPC 415
2020-01-19,N,Ghatkopar,Assault,Low,IPC 445
2020-01-19,A,Colaba/Fort,Cyber Fraud,Low,IPC 372
2020-01-19,G/N,Dharavi,Extortion,Medium,IPC 456
2020-01-20,D,Malabar Hill,Chain Snatching,Medium,IPC 453
2020-01-20,K/W,Andheri West,Extortion,Low,IPC 490
2020-01-20,F/N,Matunga,Burglary,Low,IPC 423
2020-01-20,G/N,Dharavi,Chain Snatching,High,IPC 415
2020-01-20,E,Byculla,Burglary,High,IPC 331
2020-01-20,N,Ghatkopar,Extortion,Medium,IPC 302
2020-01-20,L,Kurla,Theft,High,IPC 307
2020-01-20,A,Colaba/Fort,Burglary,Low,IPC 354
2020-01-20,G/N,Dharavi,Burglary,Medium,IPC 487
2020-01-20,F/N,Matunga,Burglary,High,IPC 368
2020-01-20,G/N,Dharavi,Assault,High,IPC 392
2020-01-21,H/E,Bandra East,Chain Snatching,High,IPC 304
2020-01-21,R/C,Borivali,Assault,Medium,IPC 458
2020-01-21,F/N,Matunga,Theft,Low,IPC 334
2020-01-21,H/E,Bandra East,Cyber Fraud,Low,IPC 335
2020-01-21,D,Malabar Hill,Theft,Medium,IPC 325
2020-01-21,E,Byculla,Burglary,Low,IPC 313
2020-01-21,D,Malabar Hill,Extortion,Medium,IPC 349
2020-01-21,R/C,Borivali,Cyber Fraud,High,IPC 375
2020-01-21,F/N,Matunga,Assault,High,IPC 426
2020-01-21,N,Ghatkopar,Theft,Low,IPC 304
2020-01-21,L,Kurla,Theft,Medium,IPC 463
2020-01-21,G/N,Dharavi,Cyber Fraud,Medium,IPC 444
2020-01-21,G/N,Dharavi,Extortion,Low,IPC 363
2020-01-22,N,Ghatkopar,Burglary,Medium,IPC 303
2020-01-22,L,Kurla,Cyber Fraud,High,IPC 301
2020-01-22,F/N,Matunga,Cyber Fraud,Low,IPC 321
2020-01-22,D,Malabar Hill,Theft,Medium,IPC 411
2020-01-22,A,Colaba/Fort,Assault,High,IPC 343
2020-01-23,L,Kurla,Cyber Fraud,High,IPC 376
2020-01-23,A,Colaba/Fort,Burglary,Low,IPC 349
2020-01-23,E,Byculla,Chain Snatching,High,IPC 301
2020-01-23,R/C,Borivali,Assault,Low,IPC 434
2020-01-23,M/E,Govandi,Assault,Low,IPC 329
2020-01-23,K/W,Andheri West,Theft,High,IPC 475
2020-01-23,K/W,Andheri West,Extortion,Medium,IPC 443
2020-01-23,E,Byculla,Assault,High,IPC 467
2020-01-23,H/E,Bandra East,Assault,High,IPC 415
2020-01-24,K/W,Andheri West,Assault,Medium,IPC 391
2020-01-24,H/E,Bandra East,Chain Snatching,Medium,IPC 379
2020-01-24,N,Ghatkopar,Extortion,Medium,IPC 392
2020-01-24,R/C,Borivali,Burglary,High,IPC 371
2020-01-24,G/N,Dharavi,Extortion,Low,IPC 317
2020-01-24,H/E,Bandra East,Theft,High,IPC 397
2020-01-24,N,Ghatkopar,Theft,Low,IPC 481
2020-01-24,H/E,Bandra East,Cyber Fraud,Medium,IPC 398
2020-01-24,G/N,Dharavi,Chain Snatching,Low,IPC 481
2020-01-24,G/N,Dharavi,Cyber Fraud,High,IPC 412
2020-01-24,H/E,Bandra East,Burglary,High,IPC 461
2020-01-24,D,Malabar Hill,Assault,High,IPC 390
2020-01-24,E,Byculla,Extortion,Low,IPC 374
2020-01-24,M/E,Govandi,Theft,Medium,IPC 468
2020-01-24,N,Ghatkopar,Assault,Low,IPC 326
2020-01-24,H/E,Bandra East,Extortion,Low,IPC 401
2020-01-24,D,Malabar Hill,Cyber Fraud,Medium,IPC 461
2020-01-24,H/E,Bandra East,Theft,Medium,IPC 382
2020-01-25,E,Byculla,Cyber Fraud,Medium,IPC 456
2020-01-25,D,Malabar Hill,Burglary,Medium,IPC 339
2020-01-25,L,Kurla,Assault,Medium,IPC 377
2020-01-25,E,Byculla,Theft,High,IPC 349
2020-01-25,N,Ghatkopar,Assault,Low,IPC 470
2020-01-25,K/W,Andheri West,Theft,Low,IPC 456
2020-01-25,H/E,Bandra East,Burglary,Medium,IPC 401
2020-01-25,H/E,Bandra East,Theft,Low,IPC 404
2020-01-25,F/N,Matunga,Assault,Medium,IPC 395
2020-01-25,D,Malabar Hill,Cyber Fraud,High,IPC 445
2020-01-25,R/C,Borivali,Theft,Medium,IPC 364
2020-01-25,R/C,Borivali,Assault,High,IPC 303
2020-01-25,F/N,Matunga,Theft,Medium,IPC 396
2020-01-25,H/E,Bandra East,Assault,Medium,IPC 384
2020-01-26,M/E,Govandi,Extortion,Medium,IPC 411
2020-01-26,H/E,Bandra East,Assault,High,IPC 390
2020-01-26,D,Malabar Hill,Burglary,Low,IPC 314
2020-01-26,E,Byculla,Theft,Low,IPC 467
2020-01-26,M/E,Govandi,Chain Snatching,High,IPC 303
2020-01-26,L,Kurla,Assault,High,IPC 480
2020-01-26,R/C,Borivali,Chain Snatching,Medium,IPC 396
2020-01-26,F/N,Matunga,Extortion,Medium,IPC 306
2020-01-26,N,Ghatkopar,Burglary,Medium,IPC 429
2020-01-26,G/N,Dharavi,Burglary,High,IPC 487
2020-01-26,G/N,Dharavi,Assault,Low,IPC 461
2020-01-26,K/W,Andheri West,Assault,Low,IPC 335
2020-01-26,E,Byculla,Chain Snatching,High,IPC 387
2020-01-27,M/E,Govandi,Burglary,Low,IPC 486
2020-01-27,H/E,Bandra East,Burglary,Low,IPC 480
2020-01-27,M/E,Govandi,Burglary,High,IPC 340
2020-01-27,E,Byculla,Extortion,Low,IPC 383
2020-01-27,K/W,Andheri West,Cyber Fraud,Medium,IPC 359
2020-01-27,R/C,Borivali,Extortion,Medium,IPC 373
2020-01-27,A,Colaba/Fort,Burglary,Low,IPC 408
2020-01-27,L,Kurla,Extortion,Low,IPC 307
2020-01-27,R/C,Borivali,Extortion,Low,IPC 343
2020-01-27,M/E,Govandi,Burglary,High,IPC 352
2020-01-27,D,Malabar Hill,Cyber Fraud,Medium,IPC 362
2020-01-27,E,Byculla,Burglary,Medium,IPC 302
2020-01-27,R/C,Borivali,Theft,Low,IPC 482
2020-01-27,A,Colaba/Fort,Burglary,High,IPC 431
2020-01-28,G/N,Dharavi,Burglary,High,IPC 417
2020-01-28,M/E,Govandi,Cyber Fraud,High,IPC 493
2020-01-28,A,Colaba/Fort,Burglary,Medium,IPC 333
2020-01-28,R/C,Borivali,Chain Snatching,Medium,IPC 314
2020-01-28,D,Malabar Hill,Chain Snatching,Low,IPC 324
2020-01-28,F/N,Matunga,Assault,Medium,IPC 328
2020-01-28,A,Colaba/Fort,Burglary,High,IPC 487
2020-01-28,E,Byculla,Assault,High,IPC 334
2020-01-28,L,Kurla,Assault,High,IPC 367
2020-01-29,A,Colaba/Fort,Chain Snatching,Medium,IPC 399
2020-01-29,H/E,Bandra East,Extortion,Low,IPC 320
2020-01-29,N,Ghatkopar,Burglary,Low,IPC 476
2020-01-29,R/C,Borivali,Burglary,Low,IPC 432
2020-01-29,F/N,Matunga,Chain Snatching,High,IPC 302
2020-01-29,E,Byculla,Cyber Fraud,High,IPC 473
2020-01-29,M/E,Govandi,Extortion,Low,IPC 326
2020-01-29,E,Byculla,Chain Snatching,Medium,IPC 399
2020-01-29,N,Ghatkopar,Cyber Fraud,Medium,IPC 353
2020-01-29,H/E,Bandra East,Theft,High,IPC 365
2020-01-29,R/C,Borivali,Theft,High,IPC 465
2020-01-29,K/W,Andheri West,Extortion,Low,IPC 365
2020-01-29,H/E,Bandra East,Extortion,Medium,IPC 437
2020-01-29,R/C,Borivali,Extortion,Medium,IPC 390
2020-01-29,A,Colaba/Fort,Theft,Low,IPC 385
2020-01-29,M/E,Govandi,Theft,High,IPC 374
2020-01-30,D,Malabar Hill,Cyber Fraud,High,IPC 353
2020-01-30,L,Kurla,Cyber Fraud,Medium,IPC 391
2020-01-30,D,Malabar Hill,Theft,Low,IPC 400
2020-01-30,F/N,Matunga,Burglary,Medium,IPC 379
2020-01-30,N,Ghatkopar,Chain Snatching,Medium,IPC 494
2020-01-30,E,Byculla,Burglary,High,IPC 488
2020-01-30,N,Ghatkopar,Theft,Medium,IPC 350
2020-01-30,R/C,Borivali,Burglary,High,IPC 311
2020-01-30,N,Ghatkopar,Assault,High,IPC 391
2020-01-30,H/E,Bandra East,Theft,Low,IPC 379
2020-01-30,N,Ghatkopar,Cyber Fraud,Medium,IPC 351
2020-01-30,L,Kurla,Extortion,High,IPC 333
2020-01-30,E,Byculla,Extortion,High,IPC 493
2020-01-30,H/E,Bandra East,Chain Snatching,High,IPC 380
2020-01-30,M/E,Govandi,Extortion,High,IPC 347
2020-01-30,N,Ghatkopar,Assault,Low,IPC 446
2020-01-30,H/E,Bandra East,Extortion,Low,IPC 443
2020-01-30,E,Byculla,Cyber Fraud,Low,IPC 347
2020-01-30,L,Kurla,Cyber Fraud,Medium,IPC 351
2020-01-30,H/E,Bandra East,Chain Snatching,High,IPC 473
2020-01-31,N,Ghatkopar,Burglary,High,IPC 342
2020-01-31,D,Malabar Hill,Chain Snatching,Medium,IPC 449
2020-01-31,D,Malabar Hill,Burglary,High,IPC 350
2020-01-31,R/C,Borivali,Extortion,High,IPC 414
2020-01-31,G/N,Dharavi,Theft,Medium,IPC 460
