"Report Number","Date Reported","Date of Occurrence","Time of Occurrence","City","Crime Code","Crime Description","Victim Age","Victim Gender","Weapon Used","Crime Domain","Police Deployed","Case Closed","Date Case Closed"
"282","11-03-2020 06:00","03-08-2020 16:00","09-03-2020 06:29","Mumbai","400","TRAFFIC VIOLATION","30","M","Knife","Traffic Fatality","6","No",""
"286","11-03-2020 14:00","03-10-2020 03:00","11-03-2020 02:28","Mumbai","112","TRAFFIC VIOLATION","38","F","Knife","Traffic Fatality","10","No",""
"294","14-03-2020 07:00","03-13-2020 10:00","13-03-2020 21:40","Mumbai","120","DOMESTIC VIOLENCE","73","F","Knife","Violent Crime","9","No",""
"299","15-03-2020 10:00","03-14-2020 21:00","15-03-2020 19:26","Mumbai","474","DRUG OFFENSE","29","M","Knife","Other Crime","6","No",""
"300","15-03-2020 13:00","03-13-2020 05:00","13-03-2020 08:02","Mumbai","398","TRAFFIC VIOLATION","49","F","Knife","Traffic Fatality","5","No",""
"305","16-03-2020 15:00","03-16-2020 06:00","16-03-2020 07:01","Mumbai","554","ROBBERY","67","F","Knife","Violent Crime","13","No",""
"318","18-03-2020 16:00","03-16-2020 08:00","16-03-2020 15:01","Mumbai","122","PUBLIC INTOXICATION","38","F","Knife","Other Crime","11","No",""
"320","18-03-2020 23:00","03-18-2020 16:00","19-03-2020 04:59","Mumbai","289","DOMESTIC VIOLENCE","54","F","Knife","Violent Crime","3","No",""
"341","23-03-2020 16:00","03-22-2020 21:00","23-03-2020 15:28","Mumbai","196","PUBLIC INTOXICATION","75","F","Knife","Other Crime","8","No",""
"342","24-03-2020 01:00","03-23-2020 05:00","23-03-2020 05:15","Mumbai","543","FRAUD","79","M","Knife","Other Crime","12","No",""
"366","31-03-2020 04:00","03-29-2020 08:00","29-03-2020 14:31","Mumbai","171","ASSAULT","30","F","Knife","Violent Crime","7","No",""
"427","14-04-2020 13:00","04-13-2020 19:00","14-04-2020 14:02","Mumbai","318","SEXUAL ASSAULT","11","M","Knife","Violent Crime","8","No",""
"428","14-04-2020 13:00","04-13-2020 11:00","13-04-2020 12:29","Mumbai","575","ILLEGAL POSSESSION","19","F","Knife","Other Crime","19","No",""
"437","16-04-2020 05:00","04-14-2020 14:00","15-04-2020 00:23","Mumbai","585","SHOPLIFTING","69","F","Knife","Other Crime","15","No",""
"450","20-04-2020 18:00","04-20-2020 05:00","20-04-2020 10:46","Mumbai","355","SHOPLIFTING","28","F","Knife","Other Crime","19","No",""
"473","28-04-2020 04:00","04-27-2020 06:00","28-04-2020 00:04","Mumbai","262","DRUG OFFENSE","66","F","Knife","Other Crime","18","No",""
"481","29-04-2020 03:00","04-28-2020 12:00","28-04-2020 16:19","Mumbai","147","HOMICIDE","52","F","Knife","Other Crime","6","No",""
"482","29-04-2020 05:00","04-26-2020 15:00","26-04-2020 18:31","Mumbai","164","TRAFFIC VIOLATION","49","F","Knife","Traffic Fatality","15","No",""
"486","30-04-2020 03:00","04-29-2020 13:00","30-04-2020 02:09","Mumbai","318","HOMICIDE","40","F","Knife","Other Crime","1","No",""
"495","30-04-2020 20:00","04-29-2020 20:00","30-04-2020 15:58","Mumbai","389","FIREARM OFFENSE","53","F","Knife","Fire Accident","8","No",""
"510","03-05-2020 23:00","05-02-2020 05:00","02-05-2020 17:32","Mumbai","260","DOMESTIC VIOLENCE","48","F","Knife","Violent Crime","1","No",""
"515","05-05-2020 08:00","05-04-2020 03:00","04-05-2020 16:18","Mumbai","230","IDENTITY THEFT","11","F","Knife","Violent Crime","8","No",""
"526","10-05-2020 04:00","05-10-2020 02:00","10-05-2020 12:01","Mumbai","328","BURGLARY","34","F","Knife","Other Crime","19","No",""
"534","13-05-2020 15:00","05-11-2020 05:00","12-05-2020 03:01","Mumbai","112","ILLEGAL POSSESSION","69","F","Knife","Other Crime","15","No",""
"539","14-05-2020 12:00","05-11-2020 17:00","11-05-2020 19:10","Mumbai","436","TRAFFIC VIOLATION","36","F","Knife","Traffic Fatality","9","No",""
"543","14-05-2020 22:00","05-12-2020 00:00","12-05-2020 20:01","Mumbai","136","DOMESTIC VIOLENCE","31","M","Knife","Violent Crime","16","No",""
"549","16-05-2020 07:00","05-14-2020 17:00","15-05-2020 10:54","Mumbai","217","COUNTERFEITING","49","M","Knife","Other Crime","19","No",""
"554","17-05-2020 21:00","05-15-2020 11:00","15-05-2020 19:34","Mumbai","504","DRUG OFFENSE","34","F","Knife","Other Crime","16","No",""
"559","19-05-2020 00:00","05-17-2020 21:00","18-05-2020 17:34","Mumbai","245","HOMICIDE","26","F","Knife","Other Crime","19","No",""
"565","20-05-2020 04:00","05-19-2020 05:00","20-05-2020 04:31","Mumbai","469","FRAUD","17","F","Knife","Other Crime","10","No",""
"566","20-05-2020 06:00","05-19-2020 03:00","19-05-2020 08:34","Mumbai","479","DOMESTIC VIOLENCE","37","M","Knife","Violent Crime","18","No",""
"620","02-06-2020 16:00","05-31-2020 18:00","01-06-2020 05:58","Mumbai","157","DOMESTIC VIOLENCE","16","F","Knife","Violent Crime","16","No",""
"631","06-06-2020 01:00","06-05-2020 20:00","06-06-2020 00:16","Mumbai","229","SEXUAL ASSAULT","49","M","Knife","Violent Crime","13","No",""
"637","06-06-2020 23:00","06-04-2020 09:00","04-06-2020 10:47","Mumbai","213","ILLEGAL POSSESSION","78","F","Knife","Other Crime","11","No",""
"638","07-06-2020 04:00","06-04-2020 19:00","04-06-2020 23:59","Mumbai","358","FRAUD","50","F","Knife","Other Crime","6","No",""
"639","07-06-2020 05:00","06-05-2020 03:00","05-06-2020 05:10","Mumbai","486","ASSAULT","68","M","Knife","Violent Crime","1","No",""
"661","12-06-2020 17:00","06-11-2020 18:00","12-06-2020 10:23","Mumbai","202","KIDNAPPING","72","F","Knife","Other Crime","6","No",""
"679","15-06-2020 13:00","06-13-2020 06:00","13-06-2020 10:50","Mumbai","282","ROBBERY","14","F","Knife","Violent Crime","9","No",""
"683","16-06-2020 14:00","06-14-2020 11:00","15-06-2020 09:21","Mumbai","443","DOMESTIC VIOLENCE","76","F","Knife","Violent Crime","17","No",""
"684","16-06-2020 15:00","06-14-2020 00:00","14-06-2020 18:34","Mumbai","292","SEXUAL ASSAULT","25","F","Knife","Violent Crime","2","No",""
"692","17-06-2020 13:00","06-17-2020 11:00","18-06-2020 08:57","Mumbai","324","SHOPLIFTING","36","M","Knife","Other Crime","2","No",""
"697","18-06-2020 19:00","06-16-2020 06:00","17-06-2020 04:20","Mumbai","399","BURGLARY","31","F","Knife","Other Crime","12","No",""
"701","19-06-2020 15:00","06-17-2020 15:00","17-06-2020 23:20","Mumbai","154","HOMICIDE","22","F","Knife","Other Crime","5","No",""
"713","21-06-2020 19:00","06-20-2020 08:00","20-06-2020 22:54","Mumbai","454","ILLEGAL POSSESSION","59","F","Knife","Other Crime","6","No",""
"734","26-06-2020 12:00","06-23-2020 15:00","24-06-2020 13:10","Mumbai","398","EXTORTION","16","F","Knife","Other Crime","8","No",""
"745","28-06-2020 23:00","06-26-2020 13:00","27-06-2020 06:18","Mumbai","128","DOMESTIC VIOLENCE","28","M","Knife","Violent Crime","9","Yes","25-07-2020 23:00"
"767","03-07-2020 09:00","07-02-2020 12:00","02-07-2020 15:18","Mumbai","182","ASSAULT","12","F","Knife","Violent Crime","19","No",""
"778","07-07-2020 20:00","07-07-2020 15:00","08-07-2020 08:34","Mumbai","427","IDENTITY THEFT","75","F","Knife","Violent Crime","7","Yes","01-10-2020 20:00"
"794","11-07-2020 09:00","07-11-2020 03:00","11-07-2020 21:21","Mumbai","467","ASSAULT","44","M","Knife","Violent Crime","13","No",""
"813","14-07-2020 23:00","07-14-2020 12:00","15-07-2020 02:47","Mumbai","557","BURGLARY","61","M","Knife","Other Crime","2","No",""
"827","18-07-2020 16:00","07-17-2020 08:00","17-07-2020 17:46","Mumbai","150","KIDNAPPING","61","F","Knife","Other Crime","3","Yes","22-08-2020 16:00"
"849","25-07-2020 10:00","07-23-2020 03:00","23-07-2020 11:04","Mumbai","516","CYBERCRIME","24","F","Knife","Other Crime","4","No",""
"854","26-07-2020 13:00","07-25-2020 06:00","25-07-2020 21:56","Mumbai","350","ROBBERY","62","M","Knife","Violent Crime","13","No",""
"878","03-08-2020 05:00","08-01-2020 04:00","01-08-2020 17:03","Mumbai","232","SHOPLIFTING","45","F","Knife","Other Crime","13","No",""
"888","06-08-2020 08:00","08-06-2020 06:00","06-08-2020 19:34","Mumbai","386","SHOPLIFTING","50","F","Knife","Other Crime","13","No",""
"898","09-08-2020 12:00","08-08-2020 22:00","09-08-2020 21:23","Mumbai","181","TRAFFIC VIOLATION","58","M","Knife","Traffic Fatality","11","Yes","20-08-2020 12:00"
"906","11-08-2020 07:00","08-10-2020 21:00","11-08-2020 02:28","Mumbai","279","ARSON","60","M","Knife","Fire Accident","4","No",""
"915","13-08-2020 17:00","08-13-2020 14:00","13-08-2020 20:46","Mumbai","155","TRAFFIC VIOLATION","17","M","Knife","Traffic Fatality","7","No",""
"923","15-08-2020 09:00","08-14-2020 05:00","14-08-2020 05:46","Mumbai","242","FRAUD","33","F","Knife","Other Crime","2","No",""
"928","18-08-2020 09:00","08-16-2020 10:00","16-08-2020 12:52","Mumbai","430","ROBBERY","43","F","Knife","Violent Crime","10","Yes","18-11-2020 09:00"
"934","20-08-2020 05:00","08-19-2020 18:00","20-08-2020 04:21","Mumbai","525","PUBLIC INTOXICATION","28","F","Knife","Other Crime","18","No",""
"936","21-08-2020 00:00","08-20-2020 21:00","21-08-2020 12:19","Mumbai","440","SEXUAL ASSAULT","65","F","Knife","Violent Crime","14","Yes","11-12-2021 00:00"
"946","23-08-2020 22:00","08-21-2020 07:00","21-08-2020 19:52","Mumbai","273","COUNTERFEITING","16","M","Knife","Other Crime","5","No",""
"959","27-08-2020 11:00","08-27-2020 00:00","27-08-2020 07:34","Mumbai","472","COUNTERFEITING","78","F","Knife","Other Crime","6","Yes","22-09-2020 11:00"
"968","29-08-2020 15:00","08-29-2020 14:00","29-08-2020 19:17","Mumbai","556","ARSON","23","F","Knife","Fire Accident","2","Yes","09-10-2020 15:00"
"969","29-08-2020 23:00","08-28-2020 22:00","29-08-2020 13:19","Mumbai","274","IDENTITY THEFT","16","M","Knife","Violent Crime","14","No",""
"973","30-08-2020 09:00","08-29-2020 10:00","30-08-2020 08:34","Mumbai","592","ROBBERY","59","F","Knife","Violent Crime","10","No",""
"990","03-09-2020 23:00","09-03-2020 08:00","04-09-2020 06:28","Mumbai","228","KIDNAPPING","73","F","Knife","Other Crime","16","No",""
"994","05-09-2020 00:00","09-02-2020 17:00","03-09-2020 15:11","Mumbai","107","FIREARM OFFENSE","12","F","Knife","Fire Accident","10","Yes","02-10-2020 00:00"
"1010","09-09-2020 11:00","09-09-2020 03:00","09-09-2020 13:20","Mumbai","197","EXTORTION","39","M","Knife","Other Crime","9","Yes","24-10-2020 11:00"
"1022","12-09-2020 06:00","09-12-2020 00:00","12-09-2020 14:11","Mumbai","194","COUNTERFEITING","28","F","Knife","Other Crime","10","Yes","15-11-2020 06:00"
"1037","16-09-2020 11:00","09-14-2020 14:00","14-09-2020 20:37","Mumbai","169","CYBERCRIME","79","M","None","Other Crime","7","Yes","02-12-2020 11:00"
"1047","18-09-2020 09:00","09-16-2020 06:00","16-09-2020 18:10","Mumbai","364","FRAUD","32","F","Knife","Other Crime","2","No",""
"1052","18-09-2020 21:00","09-18-2020 09:00","18-09-2020 15:34","Mumbai","161","SEXUAL ASSAULT","32","F","None","Violent Crime","10","Yes","15-05-2022 21:00"
"1055","19-09-2020 14:00","09-18-2020 18:00","19-09-2020 13:32","Mumbai","373","FRAUD","66","F","Knife","Other Crime","16","Yes","15-11-2020 14:00"
"1066","22-09-2020 15:00","09-21-2020 03:00","21-09-2020 08:21","Mumbai","272","IDENTITY THEFT","68","F","None","Violent Crime","16","No",""
"1069","23-09-2020 04:00","09-22-2020 23:00","23-09-2020 04:25","Mumbai","348","ASSAULT","27","F","None","Violent Crime","2","Yes","04-10-2020 04:00"
"1075","24-09-2020 16:00","09-24-2020 05:00","25-09-2020 02:31","Mumbai","475","VEHICLE - STOLEN","63","F","Knife","Violent Crime","10","No",""
"1087","27-09-2020 22:00","09-26-2020 11:00","27-09-2020 03:11","Mumbai","178","ROBBERY","45","F","Knife","Violent Crime","12","Yes","12-12-2020 22:00"
"1100","30-09-2020 17:00","09-27-2020 23:00","28-09-2020 04:39","Mumbai","223","FRAUD","38","F","None","Other Crime","13","No",""
"1107","01-10-2020 18:00","09-29-2020 00:00","29-09-2020 15:22","Mumbai","395","DOMESTIC VIOLENCE","35","F","None","Violent Crime","10","Yes","26-10-2020 18:00"
"1115","03-10-2020 12:00","10-02-2020 21:00","03-10-2020 12:34","Mumbai","315","DRUG OFFENSE","25","F","Knife","Other Crime","5","No",""
"1120","04-10-2020 19:00","10-02-2020 06:00","03-10-2020 04:16","Mumbai","510","ILLEGAL POSSESSION","74","M","Knife","Other Crime","4","Yes","30-10-2020 19:00"
"1127","05-10-2020 17:00","10-04-2020 03:00","05-10-2020 02:04","Mumbai","340","ARSON","79","F","None","Fire Accident","18","Yes","06-11-2020 17:00"
"1129","06-10-2020 01:00","10-04-2020 18:00","05-10-2020 04:39","Mumbai","386","BURGLARY","73","F","Knife","Other Crime","18","No",""
"1140","07-10-2020 10:00","10-05-2020 18:00","06-10-2020 05:35","Mumbai","468","PUBLIC INTOXICATION","78","F","None","Other Crime","1","Yes","22-10-2020 10:00"
"1141","07-10-2020 10:00","10-05-2020 10:00","05-10-2020 16:14","Mumbai","372","ASSAULT","68","M","None","Violent Crime","12","No",""
"1146","08-10-2020 03:00","10-07-2020 07:00","07-10-2020 20:57","Mumbai","243","ASSAULT","53","F","Knife","Violent Crime","8","No",""
"1188","17-10-2020 05:00","10-16-2020 19:00","17-10-2020 02:34","Mumbai","559","ASSAULT","16","F","None","Violent Crime","4","No",""
"1194","18-10-2020 05:00","10-17-2020 04:00","17-10-2020 17:15","Mumbai","398","TRAFFIC VIOLATION","43","M","None","Traffic Fatality","3","No",""
"1197","18-10-2020 11:00","10-16-2020 03:00","16-10-2020 08:14","Mumbai","177","COUNTERFEITING","31","F","None","Other Crime","8","Yes","29-11-2020 11:00"
"1213","20-10-2020 10:00","10-18-2020 16:00","19-10-2020 04:28","Mumbai","496","ILLEGAL POSSESSION","22","F","None","Other Crime","5","Yes","26-11-2020 10:00"
"1223","21-10-2020 21:00","10-20-2020 10:00","20-10-2020 11:58","Mumbai","261","FIREARM OFFENSE","33","F","Knife","Fire Accident","13","No",""
"1230","22-10-2020 07:00","10-20-2020 17:00","21-10-2020 12:10","Mumbai","321","CYBERCRIME","70","F","Knife","Other Crime","5","No",""
"1232","22-10-2020 09:00","10-20-2020 20:00","20-10-2020 22:23","Mumbai","301","TRAFFIC VIOLATION","30","F","Knife","Traffic Fatality","17","No",""
"1244","25-10-2020 03:00","10-23-2020 06:00","24-10-2020 03:31","Mumbai","470","VANDALISM","35","F","None","Other Crime","18","Yes","07-11-2020 03:00"
"1249","25-10-2020 17:00","10-23-2020 04:00","23-10-2020 13:23","Mumbai","367","ASSAULT","21","F","None","Violent Crime","4","Yes","15-12-2020 17:00"
"1250","25-10-2020 18:00","10-25-2020 07:00","25-10-2020 21:48","Mumbai","546","VEHICLE - STOLEN","66","F","None","Violent Crime","11","Yes","23-11-2020 18:00"
"1291","01-11-2020 05:00","10-29-2020 20:00","29-10-2020 22:45","Mumbai","316","CYBERCRIME","43","M","None","Other Crime","19","Yes","16-11-2020 05:00"
"1295","01-11-2020 23:00","10-31-2020 06:00","31-10-2020 15:56","Mumbai","535","TRAFFIC VIOLATION","23","F","None","Traffic Fatality","19","No",""
"1305","03-11-2020 11:00","10-31-2020 22:00","01-11-2020 06:55","Mumbai","157","ROBBERY","69","F","Knife","Violent Crime","9","No",""
"1329","07-11-2020 23:00","11-06-2020 19:00","07-11-2020 05:22","Mumbai","416","FRAUD","44","M","None","Other Crime","11","Yes","27-12-2020 23:00"
"1350","11-11-2020 00:00","11-08-2020 03:00","08-11-2020 13:48","Mumbai","524","KIDNAPPING","37","F","Knife","Other Crime","2","No",""
"1419","22-11-2020 17:00","11-22-2020 09:00","23-11-2020 03:01","Mumbai","458","SHOPLIFTING","72","F","None","Other Crime","18","Yes","18-01-2021 17:00"
"1421","23-11-2020 10:00","11-22-2020 02:00","22-11-2020 13:31","Mumbai","556","SHOPLIFTING","55","F","None","Other Crime","6","No",""
"1428","24-11-2020 05:00","11-22-2020 19:00","22-11-2020 22:17","Mumbai","115","DRUG OFFENSE","71","F","Knife","Other Crime","18","No",""
"1431","24-11-2020 14:00","11-23-2020 15:00","24-11-2020 11:54","Mumbai","338","DRUG OFFENSE","19","M","None","Other Crime","9","Yes","18-12-2020 14:00"
"1436","25-11-2020 07:00","11-23-2020 17:00","23-11-2020 22:06","Mumbai","176","PUBLIC INTOXICATION","12","F","None","Other Crime","17","No",""
"1441","25-11-2020 19:00","11-25-2020 02:00","25-11-2020 14:59","Mumbai","429","COUNTERFEITING","36","F","Knife","Other Crime","6","No",""
"1451","27-11-2020 01:00","11-25-2020 10:00","26-11-2020 05:22","Mumbai","216","PUBLIC INTOXICATION","72","M","None","Other Crime","16","Yes","23-12-2020 01:00"
"1469","29-11-2020 23:00","11-27-2020 09:00","27-11-2020 10:33","Mumbai","394","COUNTERFEITING","25","F","None","Other Crime","3","No",""
"1473","30-11-2020 13:00","11-29-2020 00:00","29-11-2020 08:45","Mumbai","510","SEXUAL ASSAULT","30","F","None","Violent Crime","13","Yes","16-06-2021 13:00"
"1477","01-12-2020 06:00","11-29-2020 20:00","30-11-2020 18:14","Mumbai","329","VEHICLE - STOLEN","38","M","None","Violent Crime","15","No",""
"1480","01-12-2020 19:00","11-28-2020 20:00","29-11-2020 11:28","Mumbai","505","EXTORTION","52","F","None","Other Crime","1","Yes","24-01-2021 19:00"
"1481","01-12-2020 20:00","12-01-2020 11:00","01-12-2020 22:38","Mumbai","171","KIDNAPPING","26","M","None","Other Crime","15","Yes","09-01-2021 20:00"
"1484","02-12-2020 10:00","11-30-2020 04:00","01-12-2020 03:41","Mumbai","451","TRAFFIC VIOLATION","27","F","Knife","Traffic Fatality","19","Yes","06-12-2020 10:00"
"1487","02-12-2020 15:00","11-30-2020 13:00","30-11-2020 14:59","Mumbai","159","FRAUD","55","F","None","Other Crime","14","No",""
"1488","02-12-2020 18:00","11-30-2020 08:00","30-11-2020 23:59","Mumbai","391","VEHICLE - STOLEN","22","M","None","Violent Crime","4","No",""
"1490","02-12-2020 23:00","12-01-2020 10:00","01-12-2020 20:08","Mumbai","313","SHOPLIFTING","69","M","Knife","Other Crime","9","Yes","23-12-2020 23:00"
"1504","05-12-2020 12:00","12-03-2020 10:00","04-12-2020 06:41","Mumbai","427","EXTORTION","13","M","None","Other Crime","17","Yes","14-12-2020 12:00"
"1510","07-12-2020 08:00","12-04-2020 13:00","05-12-2020 03:33","Mumbai","378","COUNTERFEITING","50","F","None","Other Crime","10","Yes","30-01-2021 08:00"
"1537","11-12-2020 16:00","12-09-2020 13:00","10-12-2020 05:45","Mumbai","398","COUNTERFEITING","76","F","None","Other Crime","11","Yes","26-12-2020 16:00"
"1551","13-12-2020 13:00","12-10-2020 21:00","11-12-2020 17:47","Mumbai","238","VANDALISM","28","F","Knife","Other Crime","7","Yes","04-03-2021 13:00"
"1557","14-12-2020 12:00","12-14-2020 02:00","14-12-2020 08:33","Mumbai","281","FRAUD","35","M","None","Other Crime","4","Yes","31-01-2021 12:00"
"1572","16-12-2020 06:00","12-14-2020 17:00","15-12-2020 05:19","Mumbai","502","VANDALISM","20","M","None","Other Crime","9","No",""
"1577","18-12-2020 00:00","12-17-2020 07:00","18-12-2020 02:07","Mumbai","535","HOMICIDE","29","M","None","Other Crime","6","Yes","20-09-2021 00:00"
"1584","19-12-2020 05:00","12-18-2020 11:00","19-12-2020 00:00","Mumbai","511","VANDALISM","44","F","None","Other Crime","10","No",""
"1608","22-12-2020 12:00","12-21-2020 22:00","22-12-2020 11:23","Mumbai","598","SHOPLIFTING","23","M","None","Other Crime","16","No",""
"1609","23-12-2020 10:00","12-20-2020 18:00","20-12-2020 23:10","Mumbai","471","BURGLARY","73","F","Knife","Other Crime","10","No",""
"1615","24-12-2020 04:00","12-22-2020 06:00","22-12-2020 22:20","Mumbai","195","COUNTERFEITING","76","F","None","Other Crime","6","No",""
"1628","26-12-2020 19:00","12-26-2020 14:00","27-12-2020 05:07","Mumbai","170","FIREARM OFFENSE","47","F","Knife","Fire Accident","8","Yes","11-02-2021 19:00"
"1646","30-12-2020 19:00","12-30-2020 16:00","31-12-2020 05:37","Mumbai","577","ILLEGAL POSSESSION","13","F","None","Other Crime","16","Yes","23-02-2021 19:00"
"1665","02-01-2021 14:00","12-30-2020 22:00","31-12-2020 18:23","Mumbai","128","DOMESTIC VIOLENCE","66","F","None","Violent Crime","8","Yes","20-02-2021 14:00"
"1676","04-01-2021 16:00","01-02-2021 02:00","02-01-2021 13:54","Mumbai","255","BURGLARY","77","F","None","Other Crime","13","No",""
"1677","04-01-2021 20:00","01-04-2021 02:00","04-01-2021 13:17","Mumbai","254","SEXUAL ASSAULT","47","M","Knife","Violent Crime","3","No",""
"1682","05-01-2021 12:00","01-03-2021 00:00","03-01-2021 11:01","Mumbai","199","VANDALISM","28","M","None","Other Crime","8","No",""
"1683","05-01-2021 15:00","01-04-2021 20:00","04-01-2021 21:57","Mumbai","119","ROBBERY","74","F","Knife","Violent Crime","17","Yes","24-05-2021 15:00"
"1687","06-01-2021 06:00","01-03-2021 18:00","03-01-2021 21:22","Mumbai","563","ILLEGAL POSSESSION","11","F","Knife","Other Crime","7","Yes","18-03-2021 06:00"
